outcome,event_share,consequence_share,gini,n_numeric,total_reported
Deaths,0.76,0.0341130604288499,0.8892267706302794,225,1026.0
Deaths,0.7644444444444445,0.036062378167641324,0.8892267706302794,225,1026.0
Deaths,0.7688888888888888,0.038011695906432746,0.8892267706302794,225,1026.0
Deaths,0.7733333333333333,0.03996101364522417,0.8892267706302794,225,1026.0
Deaths,0.7777777777777778,0.042884990253411304,0.8892267706302794,225,1026.0
Deaths,0.7822222222222223,0.04580896686159844,0.8892267706302794,225,1026.0
Deaths,0.7866666666666666,0.04873294346978557,0.8892267706302794,225,1026.0
Deaths,0.7911111111111111,0.05165692007797271,0.8892267706302794,225,1026.0
Deaths,0.7955555555555556,0.05458089668615984,0.8892267706302794,225,1026.0
Deaths,0.8,0.057504873294346975,0.8892267706302794,225,1026.0
Deaths,0.8044444444444444,0.06042884990253411,0.8892267706302794,225,1026.0
Deaths,0.8088888888888889,0.06335282651072124,0.8892267706302794,225,1026.0
Deaths,0.8133333333333334,0.06725146198830409,0.8892267706302794,225,1026.0
Deaths,0.8177777777777778,0.07115009746588694,0.8892267706302794,225,1026.0
Deaths,0.8222222222222222,0.07504873294346978,0.8892267706302794,225,1026.0
Deaths,0.8266666666666667,0.07894736842105263,0.8892267706302794,225,1026.0
Deaths,0.8311111111111111,0.08284600389863547,0.8892267706302794,225,1026.0
Deaths,0.8355555555555556,0.08771929824561403,0.8892267706302794,225,1026.0
Deaths,0.84,0.09259259259259259,0.8892267706302794,225,1026.0
Deaths,0.8444444444444444,0.09746588693957114,0.8892267706302794,225,1026.0
Deaths,0.8488888888888889,0.1023391812865497,0.8892267706302794,225,1026.0
Deaths,0.8533333333333334,0.10818713450292397,0.8892267706302794,225,1026.0
Deaths,0.8577777777777778,0.11403508771929824,0.8892267706302794,225,1026.0
Deaths,0.8622222222222222,0.11988304093567251,0.8892267706302794,225,1026.0
Deaths,0.8666666666666667,0.1267056530214425,0.8892267706302794,225,1026.0
Deaths,0.8711111111111111,0.13352826510721247,0.8892267706302794,225,1026.0
Deaths,0.8755555555555555,0.14035087719298245,0.8892267706302794,225,1026.0
Deaths,0.88,0.14717348927875243,0.8892267706302794,225,1026.0
Deaths,0.8844444444444445,0.15497076023391812,0.8892267706302794,225,1026.0
Deaths,0.8888888888888888,0.1627680311890838,0.8892267706302794,225,1026.0
Deaths,0.8933333333333333,0.17153996101364521,0.8892267706302794,225,1026.0
Deaths,0.8977777777777778,0.18031189083820662,0.8892267706302794,225,1026.0
Deaths,0.9022222222222223,0.18908382066276802,0.8892267706302794,225,1026.0
Deaths,0.9066666666666666,0.19883040935672514,0.8892267706302794,225,1026.0
Deaths,0.9111111111111111,0.20857699805068225,0.8892267706302794,225,1026.0
Deaths,0.9155555555555556,0.21832358674463936,0.8892267706302794,225,1026.0
Deaths,0.92,0.22807017543859648,0.8892267706302794,225,1026.0
Deaths,0.9244444444444444,0.23976608187134502,0.8892267706302794,225,1026.0
Deaths,0.9288888888888889,0.253411306042885,0.8892267706302794,225,1026.0
Deaths,0.9333333333333333,0.2680311890838207,0.8892267706302794,225,1026.0
Deaths,0.9377777777777778,0.2826510721247563,0.8892267706302794,225,1026.0
Deaths,0.9422222222222222,0.29922027290448344,0.8892267706302794,225,1026.0
Deaths,0.9466666666666667,0.3157894736842105,0.8892267706302794,225,1026.0
Deaths,0.9511111111111111,0.3362573099415205,0.8892267706302794,225,1026.0
Deaths,0.9555555555555556,0.35769980506822613,0.8892267706302794,225,1026.0
Deaths,0.96,0.3830409356725146,0.8892267706302794,225,1026.0
Deaths,0.9644444444444444,0.4191033138401559,0.8892267706302794,225,1026.0
Deaths,0.9688888888888889,0.46393762183235865,0.8892267706302794,225,1026.0
Deaths,0.9733333333333334,0.5087719298245614,0.8892267706302794,225,1026.0
Deaths,0.9777777777777777,0.5633528265107213,0.8892267706302794,225,1026.0
Deaths,0.9822222222222222,0.6198830409356725,0.8892267706302794,225,1026.0
Deaths,0.9866666666666667,0.6900584795321637,0.8892267706302794,225,1026.0
Deaths,0.9911111111111112,0.7602339181286549,0.8892267706302794,225,1026.0
Deaths,0.9955555555555555,0.8362573099415205,0.8892267706302794,225,1026.0
Deaths,1.0,1.0,0.8892267706302794,225,1026.0
Injuries,0.0,0.0,0.7662861449994225,162,2031.0
Injuries,0.006172839506172839,0.0,0.7662861449994225,162,2031.0
Injuries,0.012345679012345678,0.0,0.7662861449994225,162,2031.0
Injuries,0.018518518518518517,0.0,0.7662861449994225,162,2031.0
Injuries,0.024691358024691357,0.0,0.7662861449994225,162,2031.0
Injuries,0.030864197530864196,0.0,0.7662861449994225,162,2031.0
Injuries,0.037037037037037035,0.0,0.7662861449994225,162,2031.0
Injuries,0.043209876543209874,0.0,0.7662861449994225,162,2031.0
Injuries,0.04938271604938271,0.0,0.7662861449994225,162,2031.0
Injuries,0.05555555555555555,0.0,0.7662861449994225,162,2031.0
Injuries,0.06172839506172839,0.0,0.7662861449994225,162,2031.0
