event_id,stratum_id,date,case,case_label,tmax_anomaly_c,heatwave_indicator
HRF-0137,HRF-0137,2022-11-14,0,Matched control day,-0.5109999999999957,0.0
HRF-0137,HRF-0137,2022-11-21,0,Matched control day,-3.2209999999999965,0.0
HRF-0137,HRF-0137,2022-11-28,0,Matched control day,-1.920999999999996,0.0
HRF-0169,HRF-0169,2025-06-13,1,Event day,-1.2420000000000044,0.0
HRF-0169,HRF-0169,2025-06-06,0,Matched control day,-5.502000000000002,0.0
HRF-0169,HRF-0169,2025-06-20,0,Matched control day,-2.052,0.0
HRF-0169,HRF-0169,2025-06-27,0,Matched control day,-1.0919999999999987,0.0
HRF-0203,HRF-0203,2026-03-01,1,Event day,-0.5760000000000005,0.0
HRF-0203,HRF-0203,2026-03-08,0,Matched control day,-3.186,0.0
HRF-0203,HRF-0203,2026-03-15,0,Matched control day,-0.3060000000000009,0.0
HRF-0203,HRF-0203,2026-03-22,0,Matched control day,-3.1560000000000024,0.0
HRF-0203,HRF-0203,2026-03-29,0,Matched control day,-7.606000000000002,0.0
HRF-0205,HRF-0205,2026-03-11,1,Event day,-3.0760000000000005,0.0
HRF-0205,HRF-0205,2026-03-04,0,Matched control day,-4.246000000000002,0.0
HRF-0205,HRF-0205,2026-03-18,0,Matched control day,-2.5360000000000014,0.0
HRF-0205,HRF-0205,2026-03-25,0,Matched control day,-4.386000000000003,0.0
HRF-0022,HRF-0022,2007-08-14,1,Event day,-4.050000000000001,0.0
HRF-0022,HRF-0022,2007-08-07,0,Matched control day,-1.6700000000000017,0.0
HRF-0022,HRF-0022,2007-08-21,0,Matched control day,-1.259999999999998,0.0
HRF-0022,HRF-0022,2007-08-28,0,Matched control day,-1.5700000000000005,0.0
HRF-0039,HRF-0039,2010-11-15,1,Event day,-9.142,0.0
HRF-0039,HRF-0039,2010-11-01,0,Matched control day,-4.2620000000000005,0.0
HRF-0039,HRF-0039,2010-11-08,0,Matched control day,-4.302,0.0
HRF-0039,HRF-0039,2010-11-22,0,Matched control day,-7.3519999999999985,0.0
HRF-0039,HRF-0039,2010-11-29,0,Matched control day,-5.631999999999998,0.0
HRF-0023,HRF-0023,2007-08-18,1,Event day,-5.323,0.0
HRF-0023,HRF-0023,2007-08-04,0,Matched control day,0.2169999999999987,0.0
HRF-0023,HRF-0023,2007-08-11,0,Matched control day,-4.023,0.0
HRF-0023,HRF-0023,2007-08-25,0,Matched control day,-3.123000000000001,0.0
HRF-0024,HRF-0024,2007-09-23,1,Event day,-1.9510000000000003,0.0
HRF-0024,HRF-0024,2007-09-02,0,Matched control day,-2.8309999999999995,0.0
HRF-0024,HRF-0024,2007-09-09,0,Matched control day,0.0990000000000002,0.0
HRF-0024,HRF-0024,2007-09-16,0,Matched control day,-8.391000000000002,0.0
HRF-0024,HRF-0024,2007-09-30,0,Matched control day,-4.081,0.0
HRF-0025,HRF-0025,2008-01-25,1,Event day,-6.311,0.0
