stratum_id,event_id,event_anomaly_c,control_mean_anomaly_c,event_minus_control_c,continent
HRF-0098,HRF-0098,-3.3099999999999987,-5.809999999999999,2.5,Asia
HRF-0099,HRF-0099,-1.5700000000000005,-3.3125000000000036,1.742500000000003,Asia
HRF-0100,HRF-0100,2.658999999999999,-0.608500000000002,3.267500000000001,South America
HRF-0101,HRF-0101,0.3299999999999983,-2.7833333333333337,3.113333333333332,Asia
HRF-0102,HRF-0102,0.5279999999999987,0.745499999999998,-0.21749999999999936,Asia
HRF-0103,HRF-0103,-1.2829999999999977,-0.08966666666666612,-1.1933333333333316,Africa
HRF-0104,HRF-0104,-3.0909999999999997,-5.401,2.31,Europe
HRF-0105,HRF-0105,-9.392999999999995,-3.9363333333333315,-5.4566666666666634,Oceania
HRF-0106,HRF-0106,-5.706000000000003,-0.7860000000000018,-4.920000000000002,Europe
HRF-0107,HRF-0107,-1.2910000000000004,-9.081000000000001,7.790000000000001,Asia
HRF-0108,HRF-0108,-4.050999999999995,-5.074333333333328,1.0233333333333334,Asia
HRF-0109,HRF-0109,3.3729999999999976,-3.6595000000000013,7.032499999999999,Asia
HRF-0110,HRF-0110,-5.332000000000001,-5.674499999999998,0.3424999999999976,Asia
HRF-0111,HRF-0111,-0.971,-1.7576666666666678,0.7866666666666678,Europe
HRF-0112,HRF-0112,-9.551000000000002,-6.4843333333333355,-3.0666666666666664,North America
HRF-0113,HRF-0113,-11.401000000000003,-3.6310000000000002,-7.770000000000003,Europe
HRF-0114,HRF-0114,-7.363,-4.873,-2.49,Europe
HRF-0115,HRF-0115,-4.073,-5.678,1.6049999999999995,Europe
HRF-0116,HRF-0116,-6.135999999999999,-4.366,-1.7699999999999996,Oceania
HRF-0117,HRF-0117,-4.991,-1.0010000000000001,-3.9899999999999993,Europe
HRF-0118,HRF-0118,-5.312000000000005,-3.2986666666666693,-2.0133333333333354,Asia
HRF-0119,HRF-0119,-2.071999999999999,-2.3853333333333318,0.3133333333333326,Africa
HRF-0120,HRF-0120,0.4679999999999964,-1.4253333333333356,1.893333333333332,Asia
HRF-0122,HRF-0122,-13.322999999999997,-2.0204999999999975,-11.302499999999998,Europe
HRF-0123,HRF-0123,-4.171000000000003,-5.636000000000001,1.464999999999998,Asia
HRF-0124,HRF-0124,-1.5309999999999988,-1.7576666666666654,0.22666666666666657,South America
HRF-0125,HRF-0125,-1.3510000000000026,-3.621000000000002,2.2699999999999996,Oceania
HRF-0126,HRF-0126,-4.943000000000001,-3.815500000000002,-1.1274999999999995,Asia
HRF-0127,HRF-0127,-2.7319999999999998,-6.978666666666666,4.246666666666666,Europe
HRF-0128,HRF-0128,-7.007999999999999,-3.1580000000000004,-3.8499999999999988,Europe
HRF-0129,HRF-0129,-2.3200000000000003,-1.4500000000000004,-0.8699999999999999,Asia
HRF-0130,HRF-0130,-1.0120000000000005,-2.5445,1.5324999999999998,Asia
HRF-0131,HRF-0131,-5.721,-5.9235,0.20249999999999968,North America
HRF-0132,HRF-0132,0.3000000000000042,-0.2699999999999987,0.570000000000003,Asia
HRF-0133,HRF-0133,-1.9419999999999968,-0.9186666666666655,-1.0233333333333312,Asia
HRF-0134,HRF-0134,-6.872000000000003,-7.212000000000004,0.34000000000000075,Asia
HRF-0135,HRF-0135,-5.532999999999998,-2.7529999999999983,-2.7799999999999994,Asia
HRF-0136,HRF-0136,5.050000000000001,-5.45,10.5,North America
HRF-0137,HRF-0137,0.2390000000000043,-1.8843333333333294,2.1233333333333335,Asia
HRF-0138,HRF-0138,-13.341,-10.140999999999998,-3.200000000000001,Asia
HRF-0139,HRF-0139,-3.361000000000004,-0.5910000000000029,-2.7700000000000014,Asia
HRF-0140,HRF-0140,-4.582000000000001,-2.7695000000000016,-1.8124999999999991,Oceania
HRF-0141,HRF-0141,-1.3399999999999963,-2.009999999999998,0.6700000000000017,Asia
HRF-0142,HRF-0142,-3.760000000000005,-2.3100000000000045,-1.4500000000000006,Africa
HRF-0143,HRF-0143,1.3069999999999986,-0.7880000000000011,2.0949999999999998,Europe
HRF-0144,HRF-0144,-17.161000000000005,-8.30433333333334,-8.856666666666666,Asia
HRF-0145,HRF-0145,-3.5130000000000017,-5.928000000000003,2.415000000000001,Asia
HRF-0146,HRF-0146,-3.915000000000001,-3.6250000000000013,-0.2899999999999996,Europe
HRF-0147,HRF-0147,-0.2509999999999976,-0.7243333333333304,0.4733333333333328,South America
HRF-0149,HRF-0149,-2.436,-5.599333333333334,3.163333333333334,Europe
HRF-0150,HRF-0150,-5.615000000000004,-2.1716666666666695,-3.4433333333333342,Oceania
HRF-0151,HRF-0151,-4.792999999999999,-6.793,2.000000000000001,Europe
HRF-0152,HRF-0152,-7.85,-3.520000000000001,-4.329999999999998,Europe
HRF-0153,HRF-0153,-3.630000000000001,-5.0425,1.4124999999999996,Europe
HRF-0154,HRF-0154,-0.5530000000000008,-2.2729999999999997,1.7199999999999989,Asia
HRF-0155,HRF-0155,-1.13,0.0866666666666666,-1.2166666666666666,Asia
HRF-0156,HRF-0156,-13.585,-10.645000000000003,-2.9399999999999977,Oceania
HRF-0157,HRF-0157,0.0890000000000004,-6.057666666666666,6.1466666666666665,Europe
HRF-0158,HRF-0158,-3.671,-1.2085000000000017,-2.462499999999998,Asia
HRF-0159,HRF-0159,-1.5420000000000051,-1.8786666666666711,0.336666666666666,South America
HRF-0160,HRF-0160,-4.989999999999998,-4.063333333333333,-0.9266666666666659,Asia
HRF-0161,HRF-0161,4.949,-5.8276666666666666,10.776666666666667,North America
HRF-0162,HRF-0162,-5.840000000000001,-3.310000000000001,-2.53,North America
HRF-0163,HRF-0163,3.1880000000000006,-1.9253333333333338,5.113333333333334,Europe
HRF-0164,HRF-0164,-6.631,-1.8443333333333338,-4.786666666666666,Europe
HRF-0165,HRF-0165,-6.442,-10.602,4.16,North America
HRF-0166,HRF-0166,-1.6320000000000014,-3.452,1.8199999999999985,Europe
HRF-0167,HRF-0167,-3.121000000000002,-1.6710000000000012,-1.450000000000001,Oceania
HRF-0168,HRF-0168,-5.411000000000001,1.18233333333333,-6.593333333333331,Europe
HRF-0169,HRF-0169,-1.2420000000000044,-2.882,1.6399999999999957,Asia
HRF-0170,HRF-0170,-1.42,-1.2750000000000004,-0.14499999999999957,Oceania
