event_id,stratum_id,date,case,case_label,tmax_anomaly_c,heatwave_indicator
HRF-0031,HRF-0031,2009-05-22,0.0,Matched control day,-0.2861968994140653,0.0
HRF-0031,HRF-0031,2009-05-29,0.0,Matched control day,-0.6134979248046903,0.0
HRF-0033,HRF-0033,2009-08-15,1.0,Event day,-5.6903427124023445,0.0
HRF-0033,HRF-0033,2009-08-01,0.0,Matched control day,-1.191670227050782,0.0
HRF-0033,HRF-0033,2009-08-08,0.0,Matched control day,-5.6320236206054695,0.0
HRF-0033,HRF-0033,2009-08-22,0.0,Matched control day,-0.6894577026367195,0.0
HRF-0033,HRF-0033,2009-08-29,0.0,Matched control day,-2.9697616577148445,0.0
HRF-0032,HRF-0032,2009-07-03,1.0,Event day,-2.545443725585937,0.0
HRF-0032,HRF-0032,2009-07-10,0.0,Matched control day,-6.653002929687499,0.0
HRF-0032,HRF-0032,2009-07-17,0.0,Matched control day,-7.984042358398437,0.0
HRF-0032,HRF-0032,2009-07-24,0.0,Matched control day,-7.178225708007812,0.0
HRF-0032,HRF-0032,2009-07-31,0.0,Matched control day,-6.335223388671874,0.0
HRF-0036,HRF-0036,2010-10-01,1.0,Event day,-1.393717956542968,0.0
HRF-0036,HRF-0036,2010-10-08,0.0,Matched control day,-2.2842971801757805,0.0
HRF-0036,HRF-0036,2010-10-15,0.0,Matched control day,-4.3653518676757805,0.0
HRF-0036,HRF-0036,2010-10-22,0.0,Matched control day,-3.536265563964843,0.0
HRF-0036,HRF-0036,2010-10-29,0.0,Matched control day,-6.256877136230468,0.0
HRF-0035,HRF-0035,2010-07-06,1.0,Event day,-2.340191650390622,0.0
HRF-0035,HRF-0035,2010-07-13,0.0,Matched control day,-0.8381469726562472,0.0
HRF-0035,HRF-0035,2010-07-20,0.0,Matched control day,-1.9592864990234349,0.0
HRF-0035,HRF-0035,2010-07-27,0.0,Matched control day,-3.473797607421872,0.0
HRF-0037,HRF-0037,2010-10-14,1.0,Event day,-6.9626815795898445,0.0
HRF-0037,HRF-0037,2010-10-07,0.0,Matched control day,0.9810440063476557,0.0
HRF-0037,HRF-0037,2010-10-21,0.0,Matched control day,-12.908863830566409,0.0
HRF-0037,HRF-0037,2010-10-28,0.0,Matched control day,-9.494160461425782,0.0
HRF-0038,HRF-0038,2010-11-14,1.0,Event day,2.9626831054687486,0.0
HRF-0038,HRF-0038,2010-11-07,0.0,Matched control day,-2.9554077148437514,0.0
HRF-0038,HRF-0038,2010-11-21,0.0,Matched control day,-5.294839477539064,0.0
HRF-0038,HRF-0038,2010-11-28,0.0,Matched control day,-12.346826171875,0.0
HRF-0039,HRF-0039,2010-11-15,1.0,Event day,-8.838534545898437,0.0
HRF-0039,HRF-0039,2010-11-01,0.0,Matched control day,-3.506838989257812,0.0
HRF-0039,HRF-0039,2010-11-08,0.0,Matched control day,-3.837252807617187,0.0
HRF-0039,HRF-0039,2010-11-22,0.0,Matched control day,-6.979739379882812,0.0
HRF-0039,HRF-0039,2010-11-29,0.0,Matched control day,-4.313540649414062,0.0
HRF-0041,HRF-0041,2011-12-15,1.0,Event day,-5.9221954345703125,0.0
HRF-0041,HRF-0041,2011-12-01,0.0,Matched control day,-8.123245239257812,0.0
HRF-0041,HRF-0041,2011-12-08,0.0,Matched control day,-8.015625,0.0
HRF-0041,HRF-0041,2011-12-22,0.0,Matched control day,-5.804367065429688,0.0
HRF-0041,HRF-0041,2011-12-29,0.0,Matched control day,-6.22344970703125,0.0
HRF-0042,HRF-0042,2012-01-18,1.0,Event day,-0.8383316040039048,0.0
HRF-0042,HRF-0042,2012-01-04,0.0,Matched control day,-0.9458755493164048,0.0
HRF-0042,HRF-0042,2012-01-11,0.0,Matched control day,-3.3337387084960923,0.0
HRF-0042,HRF-0042,2012-01-25,0.0,Matched control day,-0.2482742309570298,0.0
HRF-0040,HRF-0040,2011-02-03,1.0,Event day,-4.99996948242188,0.0
HRF-0040,HRF-0040,2011-02-10,0.0,Matched control day,-13.769348144531255,0.0
HRF-0040,HRF-0040,2011-02-17,0.0,Matched control day,-6.14413452148438,0.0
HRF-0040,HRF-0040,2011-02-24,0.0,Matched control day,-6.886764526367193,0.0
HRF-0043,HRF-0043,2012-01-18,1.0,Event day,-3.746528625488281,0.0
HRF-0043,HRF-0043,2012-01-04,0.0,Matched control day,-3.2280807495117188,0.0
HRF-0043,HRF-0043,2012-01-11,0.0,Matched control day,0.9513931274414062,0.0
HRF-0043,HRF-0043,2012-01-25,0.0,Matched control day,-6.710380554199219,0.0
HRF-0044,HRF-0044,2012-03-03,1.0,Event day,-1.6062561035156264,0.0
