event_id,stratum_id,date,case,latitude,longitude,tmax_c,tmax_lag1_c,tmax_lag2_c,tmax_lag3_c,tmax_p85_c,tmax_p90_c,tmax_p95_c,tmax_anomaly_c,tmax_percentile_0_100,heatwave_indicator,hw_p85_3d,hw_p90_2d,hw_p90_3d,hw_p90_4d,hw_p95_3d,hw_p90_3d_no_floor,dewpoint_c,precipitation_mm,wind_speed_ms,weather_status,era5_sampling_radius_km
HRF-0076,HRF-0076,2016-01-26,0.0,48.85341,2.3488,10.581033325195335,13.001031494140648,10.353723144531273,5.857339477539085,10.831781005859398,11.519348144531271,12.427801513671897,-0.938314819335938,82.36559139784946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.756668345133505,0.254009689342638,4.450881166804062,completed,
HRF-0075,HRF-0075,2015-12-31,1.0,25.07725,55.30927,27.51654968261721,24.33298645019533,23.442803955078148,23.32282409667971,29.01181564331057,29.59504547119143,30.219786071777364,-2.0784957885742195,68.38709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.537889734904011,0.0,2.044015103714296,completed,
HRF-0075,HRF-0075,2015-12-03,0.0,25.07725,55.30927,28.523339843750023,30.116510009765648,30.025018310546898,29.029885864257835,29.01181564331057,29.59504547119143,30.219786071777364,-1.071705627441407,79.78494623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.86284217834475,0.0,1.568201810500633,completed,
HRF-0075,HRF-0075,2015-12-10,0.0,25.07725,55.30927,25.45111999511721,24.35926208496096,21.88228759765628,24.05133972167971,29.01181564331057,29.59504547119143,30.219786071777364,-4.14392547607422,36.45161290322581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2509113311767805,0.0008523463748133,2.97943594196125,completed,
HRF-0075,HRF-0075,2015-12-17,0.0,25.07725,55.30927,24.93283996582033,23.319635009765648,26.330422973632835,27.75879821777346,29.01181564331057,29.59504547119143,30.219786071777364,-4.662205505371095,28.49462365591398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.494963582356776,-8.864333267410984e-06,1.814639676136152,completed,
HRF-0075,HRF-0075,2015-12-24,0.0,25.07725,55.30927,28.693261718750023,27.934976196289085,24.89582214355471,25.72272644042971,29.01181564331057,29.59504547119143,30.219786071777364,-0.901783752441407,81.72043010752688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.212641652425134,0.0008523463179699,3.1143964817178964,completed,
HRF-0077,HRF-0077,2016-01-13,1.0,48.93564,2.35387,7.273904418945335,7.16480407714846,8.085870361328148,8.708795166015648,10.808142852783226,11.539648437500023,12.440515899658225,-4.265744018554688,49.89247311827957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2862538655598996,0.523178187791018,3.814358641247408,completed,
HRF-0077,HRF-0077,2016-01-06,0.0,48.93564,2.35387,9.074212646484398,9.07593688964846,9.349588012695335,8.368493652343773,10.808142852783226,11.539648437500023,12.440515899658225,-2.4654357910156257,67.95698924731182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.671723937988304,1.448518037705071,2.8657151060726145,completed,
HRF-0077,HRF-0077,2016-01-20,0.0,48.93564,2.35387,1.845880126953148,1.2193695068359602,1.2474456787109602,2.7863250732422102,10.808142852783226,11.539648437500023,12.440515899658225,-9.693768310546876,9.247311827956988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.221336746215798,0.0043511390686035,0.9244512875912392,completed,
HRF-0077,HRF-0077,2016-01-27,0.0,48.93564,2.35387,11.539407348632835,10.641580200195335,12.913140869140648,10.230676269531273,10.808142852783226,11.539648437500023,12.440515899658225,-0.0002410888671882,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.850350316365564,4.10947140397866,6.20724084068413,completed,
