latitude,longitude,api_version,api_name,sources,time_standard,fill_value,request_start,request_end,accessed_utc,request_url
40.4168,-3.7038,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:24:05.544009+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=-3.7038&latitude=40.4168&start=19910101&end=20201231&format=JSON
36.5,127.75,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:24:08.527977+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=127.75&latitude=36.5&start=19910101&end=20201231&format=JSON
-3.6896,-40.3482,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:24:11.405655+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=-40.3482&latitude=-3.6896&start=19910101&end=20201231&format=JSON
-37.8136,144.9631,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20250130,2026-08-31T11:24:32.559791+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=144.9631&latitude=-37.8136&start=19910101&end=20250130&format=JSON
38.04139,114.47861,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20210330,2026-08-31T11:24:35.658722+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=114.47861&latitude=38.04139&start=19910101&end=20210330&format=JSON
45.4376,9.1805,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20210829,2026-08-31T11:24:38.655897+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=9.1805&latitude=45.4376&start=19910101&end=20210829&format=JSON
22.61626,120.31333,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20211028,2026-08-31T11:24:41.679215+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=120.31333&latitude=22.61626&start=19910101&end=20211028&format=JSON
40.8532,-73.8897,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20220130,2026-08-31T11:25:03.261298+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=-73.8897&latitude=40.8532&start=19910101&end=20220130&format=JSON
28.19874,112.97087,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20220930,2026-08-31T11:25:06.706134+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=112.97087&latitude=28.19874&start=19910101&end=20220930&format=JSON
33.72148,73.04329,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20221030,2026-08-31T11:25:09.902528+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=73.04329&latitude=33.72148&start=19910101&end=20221030&format=JSON
40.7548,-73.9651,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20221126,2026-08-31T11:25:12.989000+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=-73.9651&latitude=40.7548&start=19910101&end=20221126&format=JSON
43.80096,87.60046,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20221124,2026-08-31T11:25:34.492259+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=87.60046&latitude=43.80096&start=19910101&end=20221124&format=JSON
-33.879,151.219,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20230430,2026-08-31T11:25:37.978257+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=151.219&latitude=-33.879&start=19910101&end=20230430&format=JSON
15.55177,32.53241,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20230924,2026-08-31T11:25:41.445435+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=32.53241&latitude=15.55177&start=19910101&end=20230924&format=JSON
39.47391,-0.37966,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20240229,2026-08-31T11:25:44.916381+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=-0.37966&latitude=39.47391&start=19910101&end=20240229&format=JSON
56.85836,35.90057,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20240328,2026-08-31T11:26:06.682469+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=35.90057&latitude=56.85836&start=19910101&end=20240328&format=JSON
-8.0476,-34.905,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20240328,2026-08-31T11:26:10.043364+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=-34.905&latitude=-8.0476&start=19910101&end=20240328&format=JSON
