event_id,stratum_id,date,case,latitude,longitude,tmax_c,dewpoint_c,precipitation_mm,wind_speed_ms,tmax_lag1_c,tmax_lag2_c,tmax_lag3_c,tmax_p85_c,tmax_p90_c,tmax_p95_c,tmax_anomaly_c,heatwave_indicator,hw_p85_3d,hw_p90_2d,hw_p90_3d,hw_p90_4d,hw_p95_3d,hw_p90_3d_no_floor,weather_status,weather_source,power_api_version,power_time_standard,power_provisional
HRF-0009,HRF-0009,2003-07-22,0,51.5169,-0.1774,22.76,13.61,0.24,4.69,22.03,21.82,25.55,25.63,26.441000000000003,27.7455,-3.681000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0010,HRF-0010,2003-10-17,1,41.8833,-87.6302,12.6,1.05,0.02,3.47,11.51,15.78,13.29,19.9665,20.942,22.3855,-8.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0010,HRF-0010,2003-10-03,0,41.8833,-87.6302,12.39,5.88,7.0,9.2,11.22,11.21,12.94,19.9665,20.942,22.3855,-8.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0010,HRF-0010,2003-10-10,0,41.8833,-87.6302,20.51,14.5,0.0,3.76,19.18,22.42,21.77,19.9665,20.942,22.3855,-0.4319999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0010,HRF-0010,2003-10-24,0,41.8833,-87.6302,14.58,6.23,1.45,4.8,11.14,10.71,15.06,19.9665,20.942,22.3855,-6.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0010,HRF-0010,2003-10-31,0,41.8833,-87.6302,15.81,10.43,0.34,7.17,18.09,10.2,12.54,19.9665,20.942,22.3855,-5.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0012,HRF-0012,2004-01-26,1,30.056,31.33,16.12,0.04,0.0,5.4,17.98,15.61,14.54,21.496499999999997,22.431,24.301,-6.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0012,HRF-0012,2004-01-05,0,30.056,31.33,19.82,-0.96,0.0,3.24,21.23,17.82,20.17,21.496499999999997,22.431,24.301,-2.6110000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0012,HRF-0012,2004-01-12,0,30.056,31.33,14.08,5.89,0.83,8.67,18.02,17.78,16.91,21.496499999999997,22.431,24.301,-8.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0012,HRF-0012,2004-01-19,0,30.056,31.33,19.77,7.03,0.0,3.91,18.73,20.29,17.87,21.496499999999997,22.431,24.301,-2.6610000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0013,HRF-0013,2004-10-17,1,10.4983,-66.9022,29.15,22.1,6.23,2.04,29.48,29.0,29.92,29.79,30.321,30.851,-1.171000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0013,HRF-0013,2004-10-03,0,10.4983,-66.9022,27.69,21.27,2.25,1.67,27.79,28.15,26.42,29.79,30.321,30.851,-2.6310000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0013,HRF-0013,2004-10-10,0,10.4983,-66.9022,30.35,21.11,0.29,1.76,30.46,28.97,28.47,29.79,30.321,30.851,0.028999999999999915,0.0,0.0,1.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0013,HRF-0013,2004-10-24,0,10.4983,-66.9022,29.24,21.34,1.78,1.51,29.9,29.0,27.59,29.79,30.321,30.851,-1.081000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0013,HRF-0013,2004-10-31,0,10.4983,-66.9022,26.44,21.53,1.25,1.77,27.43,25.58,27.0,29.79,30.321,30.851,-3.8810000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0014,HRF-0014,2004-12-07,1,41.881,-87.632,8.47,6.15,19.59,8.42,9.07,7.28,6.71,6.58,7.69,9.39,0.7800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0014,HRF-0014,2004-12-14,0,41.881,-87.632,-1.31,-5.91,0.12,7.14,0.23,6.67,5.13,6.58,7.69,9.39,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0014,HRF-0014,2004-12-21,0,41.881,-87.632,1.05,-4.15,0.1,9.23,-0.77,-5.26,4.38,6.58,7.69,9.39,-6.640000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0014,HRF-0014,2004-12-28,0,41.881,-87.632,3.74,-0.97,0.02,8.73,-1.89,-1.99,-4.11,6.58,7.69,9.39,-3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0016,HRF-0016,2005-02-12,1,40.4462,-3.692,15.72,-0.8,0.0,2.55,13.46,11.51,9.95,15.238999999999999,16.03,17.049,-0.3100000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0016,HRF-0016,2005-02-05,0,40.4462,-3.692,8.8,-1.12,0.65,1.89,9.84,10.9,11.5,15.238999999999999,16.03,17.049,-7.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0016,HRF-0016,2005-02-19,0,40.4462,-3.692,10.7,-1.65,0.0,4.66,8.32,8.32,7.2,15.238999999999999,16.03,17.049,-5.330000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0016,HRF-0016,2005-02-26,0,40.4462,-3.692,5.8,-5.67,0.07,3.32,6.51,6.93,5.07,15.238999999999999,16.03,17.049,-10.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0017,HRF-0017,2005-04-21,1,52.52437,13.41053,9.96,-4.7,0.0,2.29,10.66,15.16,18.04,19.426000000000002,20.63,22.131999999999998,-10.669999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0017,HRF-0017,2005-04-07,0,52.52437,13.41053,15.48,7.33,3.69,5.98,14.73,12.4,18.75,19.426000000000002,20.63,22.131999999999998,-5.149999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0017,HRF-0017,2005-04-14,0,52.52437,13.41053,18.65,6.87,0.0,2.75,16.18,16.35,13.27,19.426000000000002,20.63,22.131999999999998,-1.9800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0017,HRF-0017,2005-04-28,0,52.52437,13.41053,15.99,5.67,0.21,4.73,14.85,17.05,15.2,19.426000000000002,20.63,22.131999999999998,-4.639999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0019,HRF-0019,2006-05-30,1,51.1801,71.44598,33.06,10.15,0.0,4.56,30.52,27.85,25.35,26.223,27.261000000000003,28.9755,5.7989999999999995,0.0,0.0,1.0,0.0,0.0,0.0,1.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0019,HRF-0019,2006-05-02,0,51.1801,71.44598,6.24,-5.05,0.02,4.27,3.27,5.19,6.89,26.223,27.261000000000003,28.9755,-21.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0019,HRF-0019,2006-05-09,0,51.1801,71.44598,15.16,0.97,0.13,2.49,14.32,12.66,9.62,26.223,27.261000000000003,28.9755,-12.101000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0019,HRF-0019,2006-05-16,0,51.1801,71.44598,18.52,5.94,0.56,3.52,20.07,22.53,23.33,26.223,27.261000000000003,28.9755,-8.741000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0019,HRF-0019,2006-05-23,0,51.1801,71.44598,22.98,6.71,0.0,3.32,20.0,14.06,15.63,26.223,27.261000000000003,28.9755,-4.281000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0021,HRF-0021,2007-01-18,1,25.07725,55.30927,20.15,11.99,0.0,4.85,19.95,21.67,21.65,25.41,26.073,26.683999999999997,-5.923000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0021,HRF-0021,2007-01-04,0,25.07725,55.30927,21.05,7.69,0.0,3.21,20.08,19.49,19.67,25.41,26.073,26.683999999999997,-5.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0021,HRF-0021,2007-01-11,0,25.07725,55.30927,19.69,11.18,0.0,2.77,20.17,20.36,21.65,25.41,26.073,26.683999999999997,-6.382999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
